"type","cbl","cop","cores","m","n","k","tpt"
"1","mkl",0,0,1,257,257,257,0.910731098043381
"2","mkl",0,0,1,509,509,509,1.40456005909236
"3","mkl",0,0,1,1021,1021,1021,2.28258359783594
"4","mkl",0,0,1,2053,2053,2053,3.24397857995516
"5","mkl",0,0,2,257,257,257,0.733197265106569
"6","mkl",0,0,2,509,509,509,1.14022512526645
"7","mkl",0,0,2,1021,1021,1021,1.99088027510473
"8","mkl",0,0,2,2053,2053,2053,2.99922409164539
"9","mkl",0,0,3,257,257,257,0.648847708372894
"10","mkl",0,0,3,509,509,509,1.00479411038871
"11","mkl",0,0,3,1021,1021,1021,1.82691664718492
"12","mkl",0,0,3,2053,2053,2053,2.75402249264316
"13","mkl",0,0,4,257,257,257,0.585573518622731
"14","mkl",0,0,4,509,509,509,0.911370707116138
"15","mkl",0,0,4,1021,1021,1021,1.6999937317895
"16","mkl",0,0,4,2053,2053,2053,2.5947946115143
"17","mkl",0,0,6,257,257,257,0.545059584694003
"18","mkl",0,0,6,509,509,509,1.04312639796723
"19","mkl",0,0,6,1021,1021,1021,1.55999036520945
"20","mkl",0,0,6,2053,2053,2053,2.44368846581354
"21","mkl",0,0,8,257,257,257,0.636186895198724
"22","mkl",0,0,8,509,509,509,0.819412311209325
"23","mkl",0,0,8,1021,1021,1021,1.51832965464048
"24","mkl",0,0,8,2053,2053,2053,2.39954393282184
"25","mkl",0,0,9,257,257,257,0.697316541732383
"26","mkl",0,0,9,509,509,509,0.909609510490169
"27","mkl",0,0,9,1021,1021,1021,1.50909494381138
"28","mkl",0,0,9,2053,2053,2053,2.34830486304816
"29","mkl",0,0,12,257,257,257,0.713070325855639
"30","mkl",0,0,12,509,509,509,0.977403480873435
"31","mkl",0,0,12,1021,1021,1021,1.73601383584592
"32","mkl",0,0,12,2053,2053,2053,2.50245033636448
"33","mkl",0,0,15,257,257,257,0.788875115775417
"34","mkl",0,0,15,509,509,509,0.9570802596579
"35","mkl",0,0,15,1021,1021,1021,1.65239140401705
"36","mkl",0,0,15,2053,2053,2053,2.22964857157797
"37","mkl",0,0,16,257,257,257,0.818555779297803
"38","mkl",0,0,16,509,509,509,0.972063916008022
"39","mkl",0,0,16,1021,1021,1021,1.61179763077632
"40","mkl",0,0,16,2053,2053,2053,2.49129864651077
"41","mkl",0,0,18,257,257,257,0.764250875438773
"42","mkl",0,0,18,509,509,509,0.990960099682199
"43","mkl",0,0,18,1021,1021,1021,1.3704020499725
"44","mkl",0,0,18,2053,2053,2053,2.52753710400634
"45","mkl",0,0,20,257,257,257,0.769007870943774
"46","mkl",0,0,20,509,509,509,1.34678314325812
"47","mkl",0,0,20,1021,1021,1021,1.63300361280148
"48","mkl",0,0,20,2053,2053,2053,2.49075746427503
"49","mkl",0,0,21,257,257,257,0.791058743591825
"50","mkl",0,0,21,509,509,509,0.893262285887991
"51","mkl",0,0,21,1021,1021,1021,1.39680937255438
"52","mkl",0,0,21,2053,2053,2053,2.49634974073072
"53","mkl",0,0,24,257,257,257,0.797682934914899
"54","mkl",0,0,24,509,509,509,0.996292718541322
"55","mkl",0,0,24,1021,1021,1021,1.63411436680763
"56","mkl",0,0,24,2053,2053,2053,2.52239467154834
"57","openmp",0,0,1,257,257,257,1.47052809034895
"58","openmp",0,0,1,509,509,509,2.39705836517376
"59","openmp",0,0,1,1021,1021,1021,3.30421728439178
"60","openmp",0,0,1,2053,2053,2053,4.82171180439965
"61","openmp",0,0,2,257,257,257,1.2027606873932
"62","openmp",0,0,2,509,509,509,2.10974723771323
"63","openmp",0,0,2,1021,1021,1021,3.03852121259412
"64","openmp",0,0,2,2053,2053,2053,4.48144065052293
"65","openmp",0,0,3,257,257,257,1.30118197213832
"66","openmp",0,0,3,509,509,509,1.93778360295175
"67","openmp",0,0,3,1021,1021,1021,2.82389723198805
"68","openmp",0,0,3,2053,2053,2053,4.26638936448624
"69","openmp",0,0,4,257,257,257,0.948510768837657
"70","openmp",0,0,4,509,509,509,1.82409327688802
"71","openmp",0,0,4,1021,1021,1021,2.70668450506032
"72","openmp",0,0,4,2053,2053,2053,4.13993960017704
"73","openmp",0,0,6,257,257,257,0.857030798272624
"74","openmp",0,0,6,509,509,509,1.66584355192532
"75","openmp",0,0,6,1021,1021,1021,2.54407548933472
"76","openmp",0,0,6,2053,2053,2053,3.88495659486239
"77","openmp",0,0,8,257,257,257,0.797128987796553
"78","openmp",0,0,8,509,509,509,1.55643518158933
"79","openmp",0,0,8,1021,1021,1021,2.42789327211515
"80","openmp",0,0,8,2053,2053,2053,3.70357886329199
"81","openmp",0,0,9,257,257,257,0.696967640744023
"82","openmp",0,0,9,509,509,509,1.51023660526339
"83","openmp",0,0,9,1021,1021,1021,2.376129658941
"84","openmp",0,0,9,2053,2053,2053,3.59719864396317
"85","openmp",0,0,12,257,257,257,0.782257573663302
"86","openmp",0,0,12,509,509,509,1.72788270269935
"87","openmp",0,0,12,1021,1021,1021,2.57396177505105
"88","openmp",0,0,12,2053,2053,2053,3.4789554549906
"89","openmp",0,0,15,257,257,257,0.768045814102417
"90","openmp",0,0,15,509,509,509,2.11728124121704
"91","openmp",0,0,15,1021,1021,1021,2.5388249889379
"92","openmp",0,0,15,2053,2053,2053,3.44206189281888
"93","openmp",0,0,16,257,257,257,0.730782275666389
"94","openmp",0,0,16,509,509,509,2.11945714934965
"95","openmp",0,0,16,1021,1021,1021,2.8742805692288
"96","openmp",0,0,16,2053,2053,2053,3.44743356580931
"97","openmp",0,0,18,257,257,257,0.747567162737625
"98","openmp",0,0,18,509,509,509,2.12396917845407
